id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20497066,"Pike Place Market Apt Water View and Balcony",117677707,"David","Downtown","Central Business District",47.61,-122.34,"Entire home/apt",229,1,692,2024-06-06 00:00:00.000,8.35,1,188,128,"STR-OPLI-19-002281"
10277800,"Prime Location walk to attractions w Free Parking",3007728,"Jason","Queen Anne","Lower Queen Anne",47.63,-122.36,"Entire home/apt",260,1,26,2024-06-16 00:00:00.000,4.06,1,113,26,"STR-OPLI-23-001418"
15885497,"Private 1Bdr Apt Cap Hill / Parking / Kitchenette",50608719,"Pete","Capitol Hill","Portage Bay",47.64,-122.32,"Entire home/apt",198.21,1,683,2023-11-22 00:00:00.000,7.37,1,198,40,"STR-OPLI-19-000275"
94928500,"Private 2-Bedroom Apt w/ Parking in SEA",16601919,"Mason","Seward Park","Seward Park",47.56,-122.28,"Entire home/apt",198.21,1,65,2024-06-21 00:00:00.000,6.7,1,198,65,"STR-OPLI-23-001034"
5581705,"Private Apartment by University of WA & Greenlake",6587854,"Aliza","Other neighborhoods","Roosevelt",47.67,-122.32,"Entire home/apt",130,1,155,2024-06-07 00:00:00.000,1.99,1,262,21,"STR-OPLI-21-000086"
13021356,"Private Basement of Modern West Seattle home",64483941,"Monica","West Seattle","North Admiral",47.58,-122.38,"Entire home/apt",93,1,409,2024-05-29 00:00:00.000,4.21,1,55,49,"STR-OPLI-19-003203"
23045897,"Private Bedroom/townhome! Mins away from station!",62043545,"Victor","Rainier Valley","Brighton",47.53,-122.28,"Entire home/apt",92,1,206,2024-06-18 00:00:00.000,2.74,1,107,40,"STR-OPLI-22-001588"
57839700,"Private Cottage 2 Beds & Bath ?? Free Priv Parking",159891328,"Emily","Beacon Hill","North Beacon Hill",47.58,-122.31,"Entire home/apt",119,1,168,2024-06-07 00:00:00.000,6.15,1,51,86,"STR-OPLI-21-001309"
27485425,"Private Greenlake Seattle Getaway",203785194,"Julia","Other neighborhoods","Phinney Ridge",47.68,-122.35,"Entire home/apt",144,1,308,2024-06-21 00:00:00.000,4.3,1,277,49,"STR-OPLI-19-000727"
55170900,"Private Guest Suite with Free Parking",41551465,"Aman","Central Area","Madrona",47.61,-122.29,"Entire home/apt",101,1,98,2024-06-21 00:00:00.000,3.47,1,10,22,"STR-OPLI-22-000298"
41187145,"Private Guesthouse in Seattle, Sleeps 4+ Adults",315170671,"Jennie","West Seattle","Arbor Heights",47.51,-122.38,"Entire home/apt",300,1,77,2023-05-28 00:00:00.000,1.45,1,5,198,"str-opli-20-000242"
54209514,"Private Guesthouse in the heart of Seattle",158613703,"Kathleen","Other neighborhoods","Wallingford",47.66,-122.33,"Entire home/apt",135,1,194,2024-06-18 00:00:00.000,6.58,1,296,97,"STR-OPLI-22-000089"
92466900,"Private North Seattle Studio",6556786,"Chuck","Northgate","Maple Leaf",47.69,-122.33,"Entire home/apt",77,1,48,2024-06-08 00:00:00.000,4.25,1,33,48,"STR-OPLI-23-000861"
12957936,"Private Seattle Cottage",71235244,"Robert & Julia","Other neighborhoods","Wallingford",47.66,-122.34,"Entire home/apt",122,1,538,2024-06-23 00:00:00.000,5.46,1,293,74,"STR-OPLI-19-000723"
31649637,"Private Studio in Classic 1902 Capitol Hill Home",237294625,"Cara","Capitol Hill","Broadway",47.62,-122.31,"Entire home/apt",147,1,439,2024-06-12 00:00:00.000,6.67,1,188,80,"STR-OPLI-19-001948"
50624005,"Private Suite 1B1B+kitchenette, fast WiFi, free pk",198460829,"Quela","Cascade","Westlake",47.64,-122.34,"Entire home/apt",121,1,80,2024-06-10 00:00:00.000,2.29,1,142,21,"STR-OPLI-21-000611"
48956729,"Private Suite: AC / King Bed / Kitchen / Driveway",22698184,"Khoa","Beacon Hill","Mid-Beacon Hill",47.54,-122.29,"Entire home/apt",60,1,234,2024-06-18 00:00:00.000,5.99,1,235,63,"STR-OPLI-21-000230"
34978518,"Private cabin feel in the midst of Seattle",263536057,"Nathaniel","Queen Anne","West Queen Anne",47.63,-122.37,"Entire home/apt",241,1,225,2024-06-23 00:00:00.000,3.66,1,285,50,"STR-OPLI-22-000378"
10810600,"Private unit, family friendly",93522978,"Megan","Beacon Hill","Mid-Beacon Hill",47.54,-122.29,"Entire home/apt",99,1,8,2024-06-11 00:00:00.000,2.11,1,2,8,"STR-OPLI-23-001070"
34162981,"Private, Spacious, Pet Friendly w/ Parking",129299910,"Amina","Northgate","North College Park",47.7,-122.34,"Entire home/apt",154,1,342,2024-06-09 00:00:00.000,5.65,1,54,111,"STR-OPLI-20-000093"
6245498,"Quaint Ballard Bungalow",32426630,"Kevin","Ballard","Whittier Heights",47.68,-122.37,"Entire home/apt",132,1,319,2024-06-09 00:00:00.000,2.88,1,268,31,"STR-OPLI-19-001647"
15407909,"Queen Anne Oasis",34002693,"Jeffrey","Queen Anne","North Queen Anne",47.64,-122.37,"Entire home/apt",836,1,161,2024-06-10 00:00:00.000,1.73,1,290,20,"STR-OPLI-19-003416"
6734621,"Quick access to sights,3.5br, 3.5ba, Free Parking",33515006,"Andrew","Magnolia","Lawton Park",47.65,-122.38,"Entire home/apt",264,1,228,2024-06-03 00:00:00.000,2.07,1,59,16,"STR-OPLI-19-000728"
26425189,"Quiet Belltown/Downtown Loft-Top Floor Unit - A/C",158911379,"Elton","Downtown","Belltown",47.62,-122.35,"Entire home/apt",208,1,173,2024-06-14 00:00:00.000,2.41,1,133,29,"STR-OPLI-19-000445"
11183300,"Quiet Leschi Getaway near downtown & Lake Wash.",42650631,"Arjun","Central Area","Leschi",47.6,-122.3,"Entire home/apt",281,1,4,2024-06-22 00:00:00.000,4,1,328,4,"STR-OPLI-22-001892"
5991734,"Quiet Seattle Cottage Nestled in the Trees",23169254,"Jessica","West Seattle","North Admiral",47.58,-122.4,"Entire home/apt",111,1,411,2024-05-31 00:00:00.000,3.71,1,95,51,"STR-OPLI-19-000891"
7873789,"REAL BEDS, piano, comfort await you!",1645336,"Lisa","Ballard","Whittier Heights",47.68,-122.37,"Entire home/apt",116,1,713,2024-06-17 00:00:00.000,6.66,1,16,94,"STR-OPLI-19-002232"
14455104,"Rambler Home, Central, 1 Level, leschi.",89042696,"Hung","Central Area","Leschi",47.6,-122.3,"Entire home/apt",266,1,326,2024-05-31 00:00:00.000,3.44,1,300,36,"Str-opli-19-002806"
82560300,"Ravenna 1Bd Basement Guest Apartment",115279944,"David","University District","University District",47.67,-122.31,"Entire home/apt",111,1,19,2024-05-25 00:00:00.000,1.45,1,28,18,"STR-OPLI-23-000433"
11357200,"Ravenna Basement Apartment",79909092,"Daniel","Other neighborhoods","Ravenna",47.67,-122.3,"Entire home/apt",145,1,198,,198.2133333,1,208,198,"STR-OPLI-24-000346"
8597297,"Ravennity ~ Close to Light rail, UW, Greenlake",9602191,"Wynia","Other neighborhoods","Roosevelt",47.67,-122.32,"Entire home/apt",174,1,241,2024-06-17 00:00:00.000,7.09,1,123,84,"STR-OPLI-23-001080"
56832800,"Raven’s Zen in Ravenna, Seattle",10351635,"Maranda","Other neighborhoods","Ravenna",47.68,-122.3,"Entire home/apt",147,1,158,2024-06-12 00:00:00.000,5.68,1,326,55,"STR-OPLI-22-000141"
13794197,"Recently Remodeled Lower Level in West Seattle",25736673,"Renee","West Seattle","North Admiral",47.58,-122.39,"Entire home/apt",150,1,187,2024-06-23 00:00:00.000,1.93,1,184,45,"STR-OPLI-22-001023"
60868200,"Redwood B&B LLC Phinney Ridge/Greenwood/Ballard",55668955,"Kathleen","Other neighborhoods","Greenwood",47.69,-122.36,"Entire home/apt",125,1,35,2024-06-22 00:00:00.000,1.59,1,130,31,"STR-OPLI-19-000255"
60388200,"Relaxation Oasis: Chic & Cozy Retreat",419524150,"Malika","Delridge","South Delridge",47.52,-122.36,"Entire home/apt",191,1,68,2024-06-11 00:00:00.000,2.57,1,272,32,"str-opli-22-000685"
70930800,"Relaxing Condo in Entertainment Hub, Capitol Hill!",11605738,"Collin","Capitol Hill","Broadway",47.63,-122.32,"Entire home/apt",168,1,180,2024-06-21 00:00:00.000,8.49,1,141,104,"STR-OPLI-22-001461"
94670100,"Relaxing Retreat Guest Suite",1447809,"Melissa","Central Area","Mann",47.62,-122.3,"Entire home/apt",127,1,83,2024-06-21 00:00:00.000,8.59,1,218,83,"STR-OPLI-23-001154"
75727300,"Relaxing and comfortable Loft!",487188811,"Josh","Queen Anne","Lower Queen Anne",47.62,-122.36,"Entire home/apt",133,1,74,2024-06-20 00:00:00.000,4.44,1,264,57,"STR-OPLI-23-000067"
95945700,"Remote Workers' Dream with Parking & Sunset Views!",532231212,"Belle","Central Area","Leschi",47.59,-122.29,"Entire home/apt",389,1,19,2024-06-01 00:00:00.000,2.06,1,111,19,"STR-OPLI-23-001090"
11543900,"Renovated Magnolia 5 BR Home w/ Outdoor Space",1462483,"Danny","Magnolia","Southeast Magnolia",47.65,-122.38,"Entire home/apt",550,1,3,2024-05-31 00:00:00.000,2.37,1,330,3,"STR-OPLI-23-001156"
57131200,"Renovated Studio, by Thistle Steps and Puget Sound",758632,"Katie","West Seattle","Gatewood",47.53,-122.38,"Entire home/apt",103,1,150,2024-06-16 00:00:00.000,6.48,1,155,84,"STR-OPLI-22-001120"
58638000,"Renovated cozy studio suite near Downtown",450366191,"Christopher","Central Area","Atlantic",47.59,-122.31,"Entire home/apt",78,1,203,2024-06-07 00:00:00.000,7.45,1,69,77,"STR-OPLI-22-000498"
61447500,"Restful Victory Heights Home | 15 Min to Seattle",446550842,"Stay Flourish","Lake City","Victory Heights",47.71,-122.3,"Entire home/apt",336,1,47,2024-02-19 00:00:00.000,1.88,1,21,11,"STR-OPLI-21-000774"
80261800,"Scandinavian Home in Seattle, Centrally Located",216919632,"Mynn","Central Area","Minor",47.61,-122.3,"Entire home/apt",261,1,105,2024-06-20 00:00:00.000,6.65,1,136,78,"STR-OPLI-23-000167"
42313537,"Seattle Alki Beach Cottage Studio",10181843,"Kristin & Stuart","West Seattle","Alki",47.57,-122.42,"Entire home/apt",176,1,279,2024-06-21 00:00:00.000,6.88,1,109,73,"STR-OPLI-21-000097"
57669300,"Seattle Beacon Hill Lakeview Pet Friendly Studio",428155868,"Thu","Beacon Hill","South Beacon Hill",47.52,-122.28,"Entire home/apt",136,1,96,2024-06-06 00:00:00.000,3.51,1,79,43,"STR-OPLI-22-000376"
26961134,"Seattle Children's MC/UW Abode",190175335,"Christy","Other neighborhoods","Laurelhurst",47.66,-122.28,"Entire home/apt",108,1,270,2024-06-05 00:00:00.000,3.74,1,120,47,"STR-OPLI-19-002076"
11667000,"Seattle Dwelling on a Greenbelt!",369186565,"Matthew","Northgate","Pinehurst",47.72,-122.31,"Entire home/apt",115,1,198,,198.2133333,1,47,198,"STR-OPLI-24-000465"
79640600,"Seattle Hideaway",276153713,"Sebrina","Beacon Hill","North Beacon Hill",47.58,-122.31,"Entire home/apt",120,1,178,2024-06-19 00:00:00.000,10.79,1,43,128,"STR-OPLI-23-000138"
10792400,"Seattle Private Guest Suite",251077759,"Ayotunde","Beacon Hill","Mid-Beacon Hill",47.55,-122.31,"Entire home/apt",98,1,23,2024-06-21 00:00:00.000,6.22,1,11,23,"STR-OPLI-24-000221"
