listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
797358,2024-06-25 00:00:00.000,"f",78,0,2,1125
844939,2024-06-25 00:00:00.000,"f",125,0,2,1125
902609,2024-06-24 00:00:00.000,"f",69,0,2,1125
948077,2024-06-24 00:00:00.000,"f",99,0,2,1125
1042022,2024-06-24 00:00:00.000,"f",89,0,2,1125
1256892,2024-06-25 00:00:00.000,"f",100,0,2,1125
1299597,2024-06-25 00:00:00.000,"f",112,0,2,1125
1579615,2024-06-24 00:00:00.000,"t",131,0,2,1125
2215336,2024-06-24 00:00:00.000,"t",155,0,2,1125
2391699,2024-06-24 00:00:00.000,"f",52,0,2,1125
2396734,2024-06-24 00:00:00.000,"t",154,0,2,1125
2471659,2024-06-24 00:00:00.000,"f",85,0,2,1125
2614387,2024-06-24 00:00:00.000,"f",64,0,2,1125
2693700,2024-06-24 00:00:00.000,"f",95,0,2,1125
2809796,2024-06-24 00:00:00.000,"t",69,0,2,1125
2923529,2024-06-24 00:00:00.000,"t",185,0,2,1125
2989758,2024-06-25 00:00:00.000,"f",130,0,2,1125
3273240,2024-06-25 00:00:00.000,"t",142,0,2,1125
3312406,2024-06-25 00:00:00.000,"f",199,0,2,1125
3678718,2024-06-25 00:00:00.000,"f",60,0,2,1125
4000591,2024-06-25 00:00:00.000,"f",500,0,2,1125
4100009,2024-06-24 00:00:00.000,"f",110,0,2,1125
4204939,2024-06-24 00:00:00.000,"f",155,0,2,1125
4211081,2024-06-25 00:00:00.000,"t",290,0,2,1125
4286182,2024-06-24 00:00:00.000,"f",107,0,2,1125
4364624,2024-06-24 00:00:00.000,"f",135,0,2,1125
4405139,2024-06-24 00:00:00.000,"f",159,0,2,1125
4711069,2024-06-24 00:00:00.000,"t",272,0,2,1125
4956314,2024-06-24 00:00:00.000,"f",71,0,2,1125
5137315,2024-06-24 00:00:00.000,"f",58,0,2,1125
5470943,2024-06-25 00:00:00.000,"f",133,0,2,1125
5652705,2024-06-24 00:00:00.000,"f",125,0,2,1125
5682316,2024-06-24 00:00:00.000,"f",94,0,2,1125
5882923,2024-06-24 00:00:00.000,"t",105,0,2,1125
5918741,2024-06-24 00:00:00.000,"f",149,0,2,1125
6101613,2024-06-24 00:00:00.000,"t",199,0,2,1125
6166307,2024-06-24 00:00:00.000,"f",120,0,2,1125
6168975,2024-06-25 00:00:00.000,"f",276,0,2,1125
6263270,2024-06-25 00:00:00.000,"f",155,0,2,1125
6438518,2024-06-25 00:00:00.000,"t",125,0,2,1125
6492880,2024-06-24 00:00:00.000,"f",85,0,2,1125
6678058,2024-06-24 00:00:00.000,"f",76,0,2,1125
6734621,2024-06-24 00:00:00.000,"t",364,0,2,1125
6973790,2024-06-24 00:00:00.000,"t",135,0,2,1125
7035498,2024-06-25 00:00:00.000,"f",200,0,2,1125
7037522,2024-06-24 00:00:00.000,"f",129,0,2,1125
7278583,2024-06-24 00:00:00.000,"f",225,0,2,1125
7285916,2024-06-24 00:00:00.000,"f",145,0,2,1125
7342445,2024-06-24 00:00:00.000,"f",126,0,2,1125
7349029,2024-06-24 00:00:00.000,"f",115,0,2,1125
7418814,2024-06-24 00:00:00.000,"f",86,0,2,1125
7434103,2024-06-24 00:00:00.000,"f",66,0,2,1125
7455832,2024-06-24 00:00:00.000,"f",600,0,2,1125
7462250,2024-06-24 00:00:00.000,"f",139,0,2,1125
7500191,2024-06-25 00:00:00.000,"f",189,0,2,1125
7502246,2024-06-24 00:00:00.000,"t",199,0,2,1125
7533537,2024-06-24 00:00:00.000,"f",95,0,2,1125
7562331,2024-06-24 00:00:00.000,"f",85,0,2,1125
7636185,2024-06-24 00:00:00.000,"f",79,0,2,1125
7638263,2024-06-24 00:00:00.000,"f",90,0,2,1125
7697340,2024-06-24 00:00:00.000,"t",700,0,2,1125
7800238,2024-06-24 00:00:00.000,"f",85,0,2,1125
8080939,2024-06-25 00:00:00.000,"f",225,0,2,1125
8290643,2024-06-25 00:00:00.000,"t",155,0,2,1125
8409750,2024-06-25 00:00:00.000,"f",199,0,2,1125
8426827,2024-06-24 00:00:00.000,"f",115,0,2,1125
8524349,2024-06-24 00:00:00.000,"f",95,0,2,1125
8605841,2024-06-24 00:00:00.000,"f",74,0,2,1125
8630702,2024-06-24 00:00:00.000,"f",115,0,2,1125
8637174,2024-06-25 00:00:00.000,"f",109,0,2,1125
8780358,2024-06-24 00:00:00.000,"f",114,0,2,1125
8848854,2024-06-25 00:00:00.000,"f",175,0,2,1125
9068419,2024-06-25 00:00:00.000,"f",90,0,2,1125
9098494,2024-06-25 00:00:00.000,"f",350,0,2,1125
9110560,2024-06-24 00:00:00.000,"f",45,0,2,1125
9154294,2024-06-24 00:00:00.000,"f",150,0,2,1125
9217030,2024-06-25 00:00:00.000,"t",130,0,2,1125
9234966,2024-06-24 00:00:00.000,"f",117,0,2,1125
9303743,2024-06-25 00:00:00.000,"f",500,0,2,1125
9820818,2024-06-24 00:00:00.000,"f",145,0,2,1125
10125020,2024-06-25 00:00:00.000,"f",180,0,2,1125
10263907,2024-06-24 00:00:00.000,"t",167,0,2,1125
10332360,2024-06-24 00:00:00.000,"f",109,0,2,1125
10773688,2024-06-25 00:00:00.000,"t",302,0,2,1125
10835493,2024-06-25 00:00:00.000,"f",65,0,2,1125
11257096,2024-06-25 00:00:00.000,"t",150,0,2,1125
11282097,2024-06-24 00:00:00.000,"f",55,0,2,1125
11462366,2024-06-24 00:00:00.000,"f",250,0,2,1125
12170734,2024-06-25 00:00:00.000,"f",350,0,2,1125
12191280,2024-06-24 00:00:00.000,"f",110,0,2,1125
12224432,2024-06-24 00:00:00.000,"f",150,0,2,1125
12249990,2024-06-24 00:00:00.000,"f",120,0,2,1125
12272813,2024-06-24 00:00:00.000,"f",110,0,2,1125
12423091,2024-06-25 00:00:00.000,"t",291,0,2,1125
12473960,2024-06-24 00:00:00.000,"f",150,0,2,1125
12474364,2024-06-24 00:00:00.000,"f",169,0,2,1125
12632193,2024-06-24 00:00:00.000,"f",78,0,2,1125
12908346,2024-06-25 00:00:00.000,"f",109,0,2,1125
12929985,2024-06-24 00:00:00.000,"f",140,0,2,1125
12987793,2024-06-24 00:00:00.000,"f",165,0,2,1125
13033576,2024-06-24 00:00:00.000,"f",139,0,2,1125
13045179,2024-06-25 00:00:00.000,"f",95,0,2,1125
13175944,2024-06-25 00:00:00.000,"f",175,0,2,1125
13313994,2024-06-25 00:00:00.000,"f",145,0,2,1125
13334770,2024-06-24 00:00:00.000,"f",109,0,2,1125
13437692,2024-06-24 00:00:00.000,"f",139,0,2,1125
13532046,2024-06-25 00:00:00.000,"t",671,0,2,1125
13607307,2024-06-24 00:00:00.000,"t",47,0,2,1125
13641844,2024-06-24 00:00:00.000,"f",145,0,2,1125
13654492,2024-06-24 00:00:00.000,"f",115,0,2,1125
13661449,2024-06-24 00:00:00.000,"f",173,0,2,1125
13696391,2024-06-24 00:00:00.000,"f",260,0,2,1125
13751731,2024-06-25 00:00:00.000,"t",340,0,2,1125
13786651,2024-06-24 00:00:00.000,"t",269,0,2,1125
13925303,2024-06-24 00:00:00.000,"f",75,0,2,1125
14070994,2024-06-25 00:00:00.000,"f",135,0,2,1125
14186845,2024-06-25 00:00:00.000,"f",98,0,2,1125
14187192,2024-06-25 00:00:00.000,"f",200,0,2,1125
14302656,2024-06-24 00:00:00.000,"f",350,0,2,1125
14522498,2024-06-25 00:00:00.000,"f",120,0,2,1125
14760988,2024-06-25 00:00:00.000,"f",160,0,2,1125
14902010,2024-06-24 00:00:00.000,"f",75,0,2,1125
15111676,2024-06-25 00:00:00.000,"f",308,0,2,1125
15159094,2024-06-24 00:00:00.000,"f",149,0,2,1125
15160598,2024-06-24 00:00:00.000,"f",70,0,2,1125
